,Country,GDP_Growth_2018,GDP_Growth_2019,GDP_Growth_2020,GDP_Growth_2021,GDP_Growth_2022,GDP_Growth_2023,GDP_Per_Capi_2018,GDP_Per_Capi_2019,GDP_Per_Capi_2020,GDP_Per_Capi_2021,GDP_Per_Capi_2022,GDP_Per_Capi_2023,Unemployment_2018,Unemployment_2019,Unemployment_2020,Unemployment_2021,Unemployment_2022,Unemployment_2023,Inflation_Rate_2018,Inflation_Rate_2019,Inflation_Rate_2020,Inflation_Rate_2021,Inflation_Rate_2022,Inflation_Rate_2023,Population_2018,Population_2019,Population_2020,Population_2021,Population_2022,Population_2023,Current_Account_2018,Current_Account_2019,Current_Account_2020,Current_Account_2021,Current_Account_2022,Current_Account_2023,Government_Debt_2018,Government_Debt_2019,Government_Debt_2020,Government_Debt_2021,Government_Debt_2022,Government_Debt_2023,Status,Region
122,Nauru,-1.2,8.5,2,7.2,3,0.6,10582.207,10567.406,10346.097,14303.427,12521.601,12078.308,NA,NA,NA,NA,NA,NA,1.1,4.1,0.9,2,1.1,4.8,1.20E-02,1.20E-02,1.20E-02,1.20E-02,1.30E-02,1.30E-02,0.01,6.00E-03,3.00E-03,7.00E-03,3.00E-03,2.00E-03,71.1,59.6,56.3,20.5,21.7,20.1,Developing,Oceania
123,Nepal,7.6,6.7,-2.4,4.8,5.6,2,1161.534,1185.682,1139.192,1229.474,1348.157,1316.147,NA,NA,NA,NA,NA,NA,4.1,4.6,6.1,3.6,6.3,7.8,28.507,28.832,29.349,30.035,30.548,31.081,-2.35,-2.369,-0.339,-2.844,-5.174,-0.557,31.1,34,43.3,43.3,42.7,47.1,Developing,Asia
124,Netherlands,2.3,2.3,-3.9,6.3,5,0.1,54138.331,53755.165,53529.218,60380.434,59540.881,64829.341,4.9,4.4,4.9,4.2,3.5,3.6,1.6,2.7,1.1,2.8,11.6,4.1,17.181,17.282,17.408,17.475,17.591,17.811,83.668,63.55,52.034,105.703,69.28,113.786,51.6,47.6,53.3,50.4,48.4,45,Developed,Europe
125,New Zealand,3.5,3.1,-1.4,5.6,2.4,0.6,42757.406,42273.966,41343.891,48856.669,47327.941,47423.081,4.3,4.1,4.6,3.8,3.3,3.7,1.6,1.6,1.7,3.9,7.2,5.7,4.902,4.986,5.086,5.111,5.125,5.244,-8.802,-5.893,-2.057,-14.54,-21.27,-17.168,28.1,31.8,43.3,47.5,47.1,45.8,Developed,Oceania
126,Nicaragua,-3.4,-2.9,-1.8,10.3,3.8,4.6,2008.404,1940.115,1952.183,2163.083,2371.681,2672.628,5.5,5.3,6.6,11.1,7.5,7.2,4.9,5.4,3.7,4.9,10.5,8.4,6.485,6.553,6.496,6.539,6.607,6.676,-0.234,0.754,0.47,-0.543,-0.379,1.381,37.9,41.8,47.8,47.1,44.6,41.7,Developing,North America
127,Niger,7,6.1,3.5,1.4,11.9,2.4,570.983,554.124,568.606,593.802,592.621,621.04,NA,NA,NA,NA,NA,NA,2.8,-2.5,2.9,3.8,4.2,3.7,22.443,23.311,24.207,25.131,26.084,27.066,-1.625,-1.572,-1.816,-2.099,-2.5,-2.421,37,39.8,45,51.3,50.6,56.6,Developing,Africa
128,Nigeria,1.9,2.2,-1.8,3.6,3.3,2.9,2153.094,2361.108,2099.135,2089.072,2198.266,1637.468,22.6,NA,NA,NA,NA,NA,12.1,11.4,13.2,17,18.8,24.7,195.875,200.964,206.14,211.401,216.747,222.182,7.283,-13.685,-15.986,-3.254,1.019,6.023,27.7,29.2,34.5,35.7,39.7,46.4,Developing,Africa
129,North Macedonia,2.9,3.9,-4.7,4.5,2.2,1,6719.639,6720.332,6672.521,7625.26,7498.577,8063.108,20.6,17.2,16.2,15.4,14.4,13.1,1.5,0.8,1.2,3.2,14.2,9.4,1.889,1.876,1.856,1.837,1.832,1.832,2.60E-02,-0.375,-0.363,-0.389,-0.84,0.103,40.4,40.4,50.8,52.7,51.6,54.5,Developing,Europe
130,Norway,0.8,1.1,-1.3,3.9,3,0.5,82605.919,76303.683,68275.277,92955.206,108438.547,87702.851,3.9,3.7,4.6,4.4,3.3,3.6,2.8,2.2,1.3,3.5,5.8,5.5,5.324,5.357,5.385,5.415,5.475,5.534,39.38,15.499,4.053,74.928,179.096,86.827,39.4,40.6,46.1,41.6,36.3,44,Developed,Europe
131,Oman,1.3,-1.1,-3.4,2.6,9.6,1.3,19885.271,19069.329,17076.319,19458.452,22688.95,21062.91,NA,NA,NA,NA,NA,NA,0.7,0.5,-0.4,1.7,2.5,0.9,4.602,4.618,4.445,4.488,4.934,5.166,-4.459,-4.331,-12.562,-4.836,4.362,2.638,44.7,52.5,67.9,61.9,40.9,36.5,Developing,Asia
132,Pakistan,6.1,3.1,-0.9,5.8,6.2,-0.2,1698.034,1500.683,1376.512,1565.575,1651.323,1458.013,5.8,6.9,6.6,6.3,6.2,8.5,4.7,6.8,10.7,8.9,12.2,29.2,209.75,213.95,218.24,222.59,227,231.45,-19.195,-13.434,-4.449,-2.82,-17.481,-3.275,64.8,77.5,79.6,73.5,76.2,77.3,Developing,Asia
133,Palau,0.3,1.5,-6,-11.6,-1.7,0.9,16341.359,15992.463,14697.164,13384.405,14517.463,16014.467,NA,NA,NA,NA,NA,NA,2.4,0.4,0.7,-0.5,13.2,12.4,1.80E-02,1.80E-02,1.80E-02,1.80E-02,1.80E-02,1.80E-02,-5.40E-02,-8.60E-02,-0.114,-9.50E-02,-0.117,-0.146,29.5,30.5,52.1,69.7,65.9,80.9,Developing,Oceania
134,Panama,3.7,3.3,-17.7,15.8,10.8,7.3,16181.217,16526.419,13342.722,15540.795,17409.626,18725.739,6,7.1,18.5,11.3,8.8,7.4,0.8,-0.4,-1.6,1.6,2.9,1.5,4.159,4.219,4.279,4.337,4.395,4.453,-5.307,-3.524,0.385,-0.779,-0.475,-3.739,36,40.3,62,55.6,53.7,52.4,Developing,North America
135,Papua New Guinea,-0.3,4.5,-3.2,-0.8,5.2,2.9,2366.847,2314.745,2124.796,2216.458,2627.783,2518.04,NA,NA,NA,NA,NA,NA,4.4,3.9,4.9,4.5,5.3,2.3,10.186,10.693,11.224,11.782,12.029,12.282,3.285,3.558,3.424,3.284,4.567,4.179,36.7,40.6,48.7,52.6,48.3,52,Developing,Oceania
136,Paraguay,3.2,-0.4,-0.8,4,0.2,4.7,5703.324,5302.239,4885.396,5433.251,5628.472,5685.818,6.2,6.6,7.7,7.5,6.8,6.2,4,2.8,1.8,4.8,9.8,4.6,7.053,7.153,7.253,7.353,7.454,7.555,-8.70E-02,-0.216,0.669,-0.347,-2.993,0.11,22.3,25.8,36.9,37.5,40.5,41.2,Developing,South America
137,Peru,4,2.2,-10.9,13.4,2.7,-0.6,7210.677,7251.682,6328.104,6852.501,7314.211,7912.956,6.7,6.6,13,10.7,7.8,6.8,1.3,2.1,1.8,4,7.9,6.3,31.562,32.131,32.626,33.035,33.397,33.731,-2.609,-1.423,1.89,-4.674,-9.743,2.219,25.9,26.9,34.9,36.1,34,33,Developing,South America
138,Philippines,6.3,6.1,-9.5,5.7,7.6,5.5,3279.519,3512.195,3312.739,3580.009,3644.792,3906.229,5.3,5.1,10.4,7.8,5.4,4.4,5.3,2.4,2.4,3.9,5.8,6,105.76,107.29,109.2,110.08,110.94,111.91,-8.877,-3.047,11.578,-5.943,-18.261,-11.206,37.1,37,51.6,57,57.4,56.5,Developing,Asia
