,Country,GDP_Growth_2018,GDP_Growth_2019,GDP_Growth_2020,GDP_Growth_2021,GDP_Growth_2022,GDP_Growth_2023,GDP_Per_Capi_2018,GDP_Per_Capi_2019,GDP_Per_Capi_2020,GDP_Per_Capi_2021,GDP_Per_Capi_2022,GDP_Per_Capi_2023,Unemployment_2018,Unemployment_2019,Unemployment_2020,Unemployment_2021,Unemployment_2022,Unemployment_2023,Inflation_Rate_2018,Inflation_Rate_2019,Inflation_Rate_2020,Inflation_Rate_2021,Inflation_Rate_2022,Inflation_Rate_2023,Population_2018,Population_2019,Population_2020,Population_2021,Population_2022,Population_2023,Current_Account_2018,Current_Account_2019,Current_Account_2020,Current_Account_2021,Current_Account_2022,Current_Account_2023,Government_Debt_2018,Government_Debt_2019,Government_Debt_2020,Government_Debt_2021,Government_Debt_2022,Government_Debt_2023,Status,Region
1,Afghanistan,1.2,3.9,-2.4,-14.5,-6.2,2.7,499.799,499.762,516.664,356.063,352.456,410.933,NA,NA,NA,NA,NA,NA,0.6,2.3,5.6,7.8,10.6,-7.7,36.687,37.769,38.972,40.099,41.142,42.171,2.227,2.209,2.814,NA,NA,NA,7.4,6.3,7.8,NA,NA,NA,Developing,Asia
2,Albania,4,2.1,-3.3,8.9,4.9,3.5,5287.721,5395.101,5353.303,6396.166,6870.21,8299.278,12.3,11.5,11.7,11.5,10.9,10.7,2,1.4,1.6,2,6.7,4.8,2.866,2.854,2.838,2.812,2.778,2.75,-1.024,-1.166,-1.315,-1.38,-1.121,-0.285,69.5,67.4,75.8,75.2,65.5,59.8,Developed,Europe
3,Algeria,1.4,0.9,-5,3.8,3.6,4.1,4568.244,4452.856,3757.585,4169.984,4981.822,5221.813,11.7,11.4,NA,NA,NA,NA,4.3,2,2.4,7.2,9.3,9.3,42.578,43.424,43.851,44.577,45.291,45.973,-16.884,-16.911,-18.681,-4.512,19.064,5.978,34.5,40.9,46,55.1,48.1,48.6,Developing,Africa
4,Andorra,1.6,2,-11.2,8.3,9.6,1.4,42229.903,40688.491,36973.845,41806.876,41378.881,43809.726,1.8,2.1,2.9,3.3,2.1,1.6,1,0.5,0.1,1.7,6.2,5.6,7.60E-02,7.80E-02,7.80E-02,0.08,8.20E-02,8.50E-02,NA,0.568,0.448,0.468,0.582,0.634,36.3,35.4,46.4,48.6,38.9,36.4,Developed,Europe
5,Angola,-0.6,-0.2,-4,2.1,4.2,1,3651.304,2926.143,1989.939,2445.388,3974.666,2967.384,NA,NA,NA,NA,NA,NA,19.6,17.1,22.3,25.8,21.4,13.6,31.274,32.354,33.428,34.504,35.711,36.961,7.403,5.137,0.872,8.399,11.763,4.185,82.5,101.4,119.1,74.3,56.1,73.7,Developing,Africa
6,Antigua and Barbuda,7,3.1,-18.9,8.2,9.5,4.2,17451.026,17851.361,14382.232,16088.64,18498.453,19985.469,NA,NA,NA,NA,NA,NA,1.2,1.4,1.1,1.6,7.5,5.1,9.50E-02,9.70E-02,9.80E-02,0.1,0.101,0.102,-0.233,-0.112,-0.224,-0.288,-0.296,-0.262,84.3,81.6,100.5,93,82,76.8,Developing,North America
7,Argentina,-2.6,-2,-9.9,10.4,5.3,-1.6,11786.433,9941.59,8489.332,10610.191,13676.216,13823.346,9.2,9.8,11.6,8.8,6.8,6.1,34.3,53.5,42,48.4,72.4,133.5,44.495,44.939,45.377,45.809,46.235,46.697,-27.084,-3.49,2.688,6.625,-4.056,-20.956,85.2,89.8,103.8,81,84.5,155.4,Developing,South America
8,Armenia,5.2,7.6,-7.1,5.8,12.6,8.3,4195.963,4596.861,4268.681,4685.183,6660.868,8125.625,19,18.3,18.2,15.5,13.5,12.6,2.5,1.5,1.2,7.2,8.7,2,2.969,2.963,2.962,2.962,2.93,2.964,-0.901,-0.961,-0.505,-0.483,6.50E-02,-0.556,55.7,53.7,67.4,63.4,49.2,50.7,Developing,Asia
9,Aruba,2.4,-2.3,-24,27.6,10.5,5.3,30082.212,31096.315,23565.55,28813.136,33032.454,36743.647,7.3,5.2,8.6,8.8,6.6,4,3.6,3.9,-1.3,0.7,5.5,3.4,0.109,0.109,0.109,0.108,0.107,0.107,-1.70E-02,6.00E-03,-0.425,-6.50E-02,0.213,0.191,73.3,71.1,112.3,101.8,90.1,78.7,Developing,Other
10,Australia,2.8,1.8,-2.1,5.5,3.9,2,56441.271,54391.307,53249.731,64352.012,65513.824,64546.866,5.3,5.2,6.5,5.1,3.7,3.7,1.9,1.6,0.9,2.8,6.6,5.6,25.146,25.52,25.631,25.771,26.316,26.967,-31.736,4.828,29.737,47.925,14.95,4.395,41.7,46.7,57,55.4,50.3,49,Developed,Oceania
11,Austria,2.4,1.5,-6.6,4.2,4.8,-0.8,51234.477,50192.49,48837.35,53696.146,52501.49,56856.125,5.2,4.8,5.5,6.2,4.7,5.1,2.1,1.5,1.4,2.8,8.6,7.7,8.885,8.859,8.901,8.932,8.978,9.105,4.117,10.603,14.962,7.893,-1.372,13.775,74.1,70.6,82.9,82.5,78.4,77.5,Developed,Europe
12,Azerbaijan,1.5,2.5,-4.2,5.6,4.7,1.1,4759.796,4841.145,4280.429,5468.269,7831.176,7144.807,4.9,5,7.2,6,5.6,5.5,2.3,2.6,2.8,6.7,13.9,8.8,9.898,9.951,9.974,10.026,10.063,10.127,6.051,4.365,-0.228,8.292,23.478,8.329,18.7,17.7,21.3,26.3,17.3,21.8,Developing,Asia
13,Bahamas,2.6,-1.4,-21.4,15.4,10.8,2.6,33084.566,33778.471,25572.518,28828.653,32897.378,35517.076,10.4,10.1,26.2,17.6,10.8,10.2,2.3,2.5,0,2.9,5.6,3.1,0.381,0.385,0.389,0.394,0.399,0.404,-1.199,-0.281,-2.285,-2.434,-1.189,-1.108,62.5,61.4,74.6,99.7,88.6,81.5,Developing,North America
14,Bahrain,2.1,2.1,-5.9,4.4,6,3,26324.407,27259.744,24342.844,27140.448,30533.09,29218.861,4.3,4.7,5.9,6.8,5.4,6.3,2.1,1,-2.3,-0.6,3.6,0.1,1.503,1.484,1.472,1.505,1.529,1.577,-2.435,-0.794,-3.245,2.602,6.839,2.699,90.4,97.1,125.7,122.3,111.1,123.3,Developing,Asia
15,Bangladesh,7.3,7.9,3.4,6.9,7.1,5.8,1991.739,2154.227,2270.348,2497.741,2730.846,2651.738,NA,NA,NA,NA,NA,NA,5.8,5.5,5.6,5.6,6.1,9,161.356,163.046,164.689,166.657,168.52,170.279,-9.567,-4.49,-5.435,-4.575,-18.196,-11.633,29.6,32,34.5,35.6,37.9,39.3,Developing,Asia
16,Barbados,-1.2,0.7,-15.1,-0.3,17.8,4.1,19654.52,20156.276,17951.935,18276.871,21624.512,23167.298,10.1,10.1,15.7,14.1,8.2,8.2,3,1.7,0.6,1.4,4.5,3.2,0.286,0.287,0.288,0.289,0.289,0.29,-0.201,-9.30E-02,-0.253,-0.541,-0.619,-0.578,114.2,107.6,138.2,121.6,113.2,110.8,Developing,North America
17,Belarus,3.1,1.4,-0.7,2.4,-4.7,3.9,6357.962,6838.218,6536.527,7332.084,7892.727,7821.879,4.8,4.2,4.1,3.9,3.6,3.5,4.9,5.6,5.5,9.5,15.2,5,9.439,9.42,9.38,9.303,9.228,9.178,2.30E-02,-1.246,-0.178,2.157,2.516,-1.297,47.5,41,47.5,41.2,41.3,40.7,Developed,Europe
18,Belgium,1.8,2.2,-5.3,6.9,3,1.4,47685.347,46783.103,45615.359,52039.551,50274.779,53854.213,6,5.4,5.6,6.3,5.6,5.5,2.3,1.2,0.4,3.2,10.3,2.3,11.399,11.456,11.522,11.555,11.618,11.743,-4.968,0.527,7.426,7.869,-5.908,-6.131,99.9,97.6,111.9,107.9,104.3,105.2,Developed,Europe
19,Belize,1.1,4.2,-13.7,17.9,9.8,1.1,6053.244,6181.462,5210.543,6070.954,7121.06,7592.071,9.4,9,13.7,10.2,6.1,3.4,0.3,0.2,0.1,3.2,6.3,4.4,0.379,0.386,0.393,0.399,0.397,0.404,-0.151,-0.185,-0.128,-0.158,-0.236,-0.02,78.8,78.5,103,82.3,67.1,66.8,Developing,North America
20,Benin,6.7,6.9,3.8,7.2,6.3,6.4,1194.023,1171.015,1239.74,1361.816,1306.021,1433.067,NA,NA,NA,NA,NA,NA,0.8,-0.9,3,1.7,1.4,2.8,11.941,12.29,12.643,12.997,13.353,13.732,-0.649,-0.576,-0.274,-0.735,-1.065,-1.161,41.1,41.2,46.1,50.3,54.2,54.5,Developing,Africa
21,Bhutan,3.5,4.6,-2.5,-3.3,4.8,5,3606.621,3547.477,3469.154,3486.101,3775.341,3790.136,3.4,2.7,5,4.8,5.9,3.5,3.7,2.8,3,8.2,5.9,4.6,0.735,0.738,0.745,0.753,0.76,0.767,-0.462,-0.502,-0.382,-0.293,-0.806,-1.001,107.3,99.7,114.9,123.3,117.3,116.1,Developing,Asia
22,Bolivia,4.2,2.2,-8.7,6.1,3.6,3.1,3588.089,3591.403,3172.556,3449.205,3706.442,3748.41,4.9,5,8.3,6.9,4.7,4.9,2.3,1.8,0.9,0.7,1.7,2.6,11.31,11.47,11.63,11.8,11.96,12.13,-1.725,-1.366,-1.60E-02,1.581,0.939,-1.177,53.1,58.6,78,81.4,80.1,88.4,Developing,South America
23,Bosnia and Herzegovina,3.8,2.9,-3,7.4,4.2,1.7,5859.283,5867.26,5800.39,6800.487,7064.286,7810.113,18.4,15.7,15.9,17.4,15.4,13.2,1.4,0.6,-1.1,2,14,6.1,3.496,3.491,3.487,3.481,3.473,3.464,-0.662,-0.532,-0.574,-0.419,-1.066,-0.761,34.9,33.2,37.1,35.6,31,32.2,Developed,Europe
24,Botswana,4.2,3,-8.7,11.9,5.5,2.7,6947.818,6679.188,5863.182,7244.158,7726.111,7249.918,NA,NA,NA,NA,NA,NA,3.2,2.7,1.9,6.7,12.2,5.1,2.451,2.5,2.546,2.588,2.63,2.675,6.70E-02,-1.155,-1.531,-0.25,-0.241,-0.123,14.9,16.5,18.7,18.7,18.1,20.1,Developing,Africa
25,Brazil,1.8,1.2,-3.3,4.8,3,2.9,9281.668,9010.512,7057.072,7951.553,9256.482,10267.932,12.4,12,13.8,13.2,9.3,8,3.7,3.7,3.2,8.3,9.3,4.6,206.529,207.9,209.165,210.104,210.863,211.695,-53.818,-65.001,-24.914,-40.409,-40.884,-21.745,84.8,87.1,96,88.9,83.9,84.7,Developing,South America
26,Brunei Darussalam,0.1,3.9,1.1,-1.6,-1.6,1.4,31074.01,29865.278,27174.73,31781.303,37452.922,33576.739,8.7,6.8,7.3,5,5.2,5.3,1,-0.4,1.9,1.7,3.7,0.4,0.437,0.451,0.442,0.441,0.445,0.451,0.94,0.894,0.514,1.57,3.264,1.949,2.6,2.6,2.9,2.5,2.1,2.3,Developing,Asia
27,Bulgaria,2.7,4,-4,7.7,3.9,1.8,9485.446,9909.937,10165.58,12297.273,14023.892,15764.648,5.3,4.3,5.2,5.2,4.2,4.4,2.6,2.5,1.2,2.8,13,8.6,7,6.951,6.917,6.839,6.448,6.445,0.628,1.285,2.80E-02,-1.45,-1.264,-0.271,20.1,18.3,22.8,22.5,21.5,22,Developed,Europe
28,Burkina Faso,6.6,5.5,1.9,6.9,1.8,3.1,780.482,765.132,824.248,887.527,830.449,866.587,NA,NA,NA,NA,NA,NA,2,-3.2,1.9,3.9,14.1,0.7,20.393,20.952,21.54,22.145,22.766,23.405,-0.665,-0.524,0.744,7.70E-02,-1.407,-1.63,38.1,41.9,43.8,55.6,58.4,55.9,Developing,Africa
29,Burundi,1.6,1.8,0.3,3.1,1.8,2.7,271.289,261.294,259.906,273.956,310.952,326.842,NA,NA,NA,NA,NA,NA,-2.8,-0.7,7.3,8.3,18.9,27,11.193,11.529,11.875,12.231,12.598,12.976,-0.389,-0.348,-0.347,-0.398,-0.622,-0.587,53,60,66,66.6,68.4,62.4,Developing,Africa
30,Cabo Verde,3.7,6.9,-20.8,7,17.4,5.1,4165.533,4465.52,3649.151,4072.362,4557.702,5083.19,12.2,8.5,8.5,8.5,8.5,8.5,1.3,1.1,0.6,1.9,7.9,3.7,0.498,0.5,0.502,0.504,0.507,0.509,-9.90E-02,4.00E-03,-0.281,-0.244,-8.30E-02,-0.08,112,109.4,143.8,149.1,124,114,Developing,Africa
31,Cambodia,8.8,7.9,-3.6,3.1,5.1,5,2097.235,2281.377,2136.009,2217.723,2365.226,2545.522,NA,NA,NA,NA,NA,NA,2.5,1.9,2.9,2.9,5.3,2.1,15.821,16.079,16.338,16.592,16.843,17.012,-2.895,-2.932,-0.87,-10.886,-7.488,0.555,21.1,20.8,25.2,25.9,25,25.7,Developing,Asia
32,Cameroon,4,3.4,0.5,3,3.7,3.2,1585.96,1533.161,1539.354,1654.245,1592.262,1722.821,NA,NA,NA,NA,NA,NA,1.1,2.5,2.5,2.3,6.3,7.4,25.216,25.876,26.546,27.224,27.912,28.608,-1.409,-1.695,-1.512,-1.794,-1.505,-1.909,38.3,41.6,44.9,47.2,45.6,43.2,Developing,Africa
33,Canada,2.7,1.9,-5,5.3,3.8,1.2,46617.97,46430.975,43573.195,52520.512,55612.897,53607.403,5.9,5.7,9.7,7.5,5.3,5.4,2.3,1.9,0.7,3.4,6.8,3.9,37.009,37.555,37.998,38.223,38.867,39.966,-41.01,-34.054,-33.396,0.297,-7.923,-15.542,90.8,90.2,118.2,113.5,107.4,107.5,Developed,North America
34,Central African Republic,3.8,3,1,1,0.5,0.7,467.282,460.794,475.188,505.678,482.523,510.568,NA,NA,NA,NA,NA,NA,1.6,2.8,0.9,4.3,5.6,3,4.879,4.945,5.027,5.112,5.098,5.152,-0.182,-0.112,-0.195,-0.289,-0.318,-0.231,50,48.2,44.4,48.5,51,57.6,Developing,Africa
35,Chad,5.9,6.6,-2.1,-0.9,3.6,4.9,990.693,935.428,889.735,941.934,933.778,982.381,NA,NA,NA,NA,NA,NA,4,-1,4.5,-0.8,5.8,4.1,15.478,15.947,16.426,16.915,17.414,17.921,-0.646,-0.494,-0.407,-0.283,0.89,-0.164,33.3,38,41.2,42.4,34.5,32.7,Developing,Africa
36,Chile,4,0.6,-6.1,11.3,2.1,0.2,15755.003,14551.577,13056.638,16037.956,15238.627,16814.973,7.4,7.2,10.8,8.9,7.9,8.7,2.3,2.2,3,4.5,11.6,7.6,18.751,19.107,19.458,19.678,19.829,19.961,-13.264,-14.506,-4.952,-22.96,-26.163,-11.901,25.8,28.3,32.4,36.4,37.8,39.4,Developing,South America
37,China,6.7,6,2.2,8.4,3,5.2,9848.949,10170.061,10525.001,12572.071,12642.847,12597.307,4.9,5.2,5.6,5.1,5.6,5.2,2.1,2.9,2.5,0.9,2,0.2,1405.41,1410.08,1412.12,1412.6,1411.75,1409.67,24.131,102.91,248.836,352.886,443.374,252.987,56.7,60.4,70.2,71.9,77.4,84.4,Developing,Asia
38,Colombia,2.6,3.2,-7.2,10.8,7.3,0.6,6923.64,6540.141,5363.235,6231.24,6681.732,6962.873,9.9,10.9,16.7,13.8,11.2,10.2,3.2,3.5,2.5,3.5,10.2,11.7,48.258,49.396,50.408,51.117,51.683,52.216,-14.041,-14.809,-9.267,-17.949,-21.205,-9.154,53.6,52.4,65.7,64,60.1,54.3,Developing,South America
39,Comoros,3.6,1.8,-0.2,2,2.6,3,1518.8,1501.981,1510.592,1549.471,1439.616,1540.685,NA,NA,NA,NA,NA,NA,1.7,3.7,0.8,0,12.4,8.5,0.776,0.791,0.806,0.822,0.851,0.87,-3.50E-02,-4.10E-02,-2.20E-02,-4.00E-03,-7.00E-03,-3.30E-02,17,21.2,24.3,26.3,28.1,33.2,Developing,Africa
40,Congo Dem,4.8,4.5,1.7,5.9,8.8,8.4,564.342,578.891,546.43,614.306,679.412,669.581,NA,NA,NA,NA,NA,NA,29.3,4.7,11.4,9,9.3,19.9,85.12,87.911,90.794,93.751,96.801,99.948,-1.672,-1.62,-1.052,-0.587,-3.238,-4.183,14.8,14.8,16.2,15.9,14.3,14.4,Developing,Africa
41,Congo Rep,-2.3,1.1,-6.3,1.1,1.8,2,2716.492,2509.047,2014.193,2293.987,2339.437,2308.52,NA,NA,NA,NA,NA,NA,1.2,0.4,1.4,2,3,4.3,5.441,5.571,5.702,5.836,5.97,6.138,2.733,1.632,1.443,1.717,2.47,0.91,71.2,77.6,102.5,97.8,92.5,99,Developing,Africa
42,Costa Rica,2.6,2.4,-4.3,7.9,4.6,5.1,12428.924,12691.127,12163.927,12539.282,13239.876,16390.222,12,12.4,20,13.7,11.7,7.3,2.2,2.1,0.7,1.7,8.3,0.5,5.022,5.075,5.128,5.18,5.229,5.278,-1.867,-0.826,-0.632,-2.061,-2.235,-1.253,51.8,56.4,66.9,67.6,63,61.1,Developing,North America
43,Croatia,3,3.4,-8.5,13,7,3.1,15138.564,15220.474,14372.314,17955.798,18687.46,21520.681,9.9,7.8,9,8.1,6.8,6.2,1.6,0.8,0,2.7,10.7,8.4,4.088,4.065,4.048,3.879,3.856,3.843,1.002,1.541,-0.556,0.677,-1.997,0.892,72.6,70.4,86.1,77.5,67.8,63,Developed,Europe
44,Cyprus,5.6,5.5,-3.4,9.9,5.1,2.5,29631.99,29626.37,28386.27,32926.483,32357.354,35015.587,8.4,7.1,7.6,7.5,6.8,6.1,0.8,0.5,-1.1,2.2,8.1,3.9,0.864,0.876,0.888,0.896,0.905,0.921,-1.013,-1.442,-2.513,-1.791,-2.321,-3.901,101.1,93,114.9,99.3,85.6,77.3,Developed,Europe
45,Czech Republic,2.8,3.6,-5.3,4,2.8,-0.1,23661.699,24013.061,23464.296,27667.664,27876.28,31630.255,2.2,2,2.5,2.7,2.2,2.6,2.1,2.8,3.2,3.8,15.1,10.7,10.65,10.694,10.702,10.517,10.828,10.851,1.109,0.835,4.898,-7.751,-14.247,1.315,31.7,29.6,36.9,40.7,42.5,42.4,Developed,Europe
47,Denmark,1.9,1.7,-1.8,7.4,1.5,2.5,61456.783,59489.614,61075.932,69927.264,68434.674,68618.872,3.9,3.7,4.7,3.6,2.5,2.8,0.7,0.7,0.3,1.9,8.5,3.4,5.781,5.806,5.823,5.84,5.873,5.933,22.409,25.719,25.699,35.44,46.86,40.04,34.1,33.8,42.2,35.8,29.7,29.7,Developed,Europe
48,Djibouti,4.8,5.5,1.3,4.5,3.9,7,3038.268,3172.748,3223.83,3378.403,3666.833,3895.094,NA,NA,NA,NA,NA,NA,0.1,3.3,1.8,1.2,5.2,1.4,0.959,0.974,0.988,1.002,1.016,1.03,0.429,0.564,0.366,-0.224,0.656,0.899,47.5,41.1,41.5,40.4,36.6,34.6,Developing,Africa
49,Dominica,3.5,5.5,-16.6,6.9,5.6,4.7,7981.044,8466.407,6872.22,7530.367,8193.119,8781.135,NA,NA,NA,NA,NA,NA,1,1.5,-0.7,1.6,7.7,3.5,7.00E-02,7.20E-02,7.30E-02,7.40E-02,7.40E-02,7.40E-02,-0.259,-0.233,-0.189,-0.183,-0.162,-0.222,85.6,97.7,112.5,108.5,103.6,96.5,Developing,North America
50,Dominican Republic,7,5.1,-6.7,12.3,4.9,2.4,8340.961,8595.18,7553.509,8965.655,10720.515,11372.125,5.7,6.2,5.8,7.4,5.3,5.3,3.6,1.8,3.8,8.2,8.8,4.8,10.266,10.358,10.448,10.536,10.622,10.709,-1.322,-1.188,-1.337,-2.685,-6.549,-4.376,50.5,53.6,71.5,63.2,59.5,60,Developing,North America
51,Ecuador,1,0.2,-9.2,9.8,6.2,2.4,6293.459,6199.031,5469.758,6099.278,6581.095,6663.636,3.7,3.8,5.3,4.2,3.2,3.4,-0.2,0.3,-0.3,0.1,3.5,2.2,17.078,17.357,17.526,17.614,17.715,17.835,-1.312,-0.156,2.208,3.098,2.133,2.291,49.5,52.1,63.6,61.6,57,55.3,Developing,South America
52,Egypt,5.3,5.5,3.6,3.3,6.7,3.8,2710.158,3214.301,3802.438,4145.939,4587.172,3743.608,10.9,8.6,8.3,7.3,7.3,7.2,20.9,13.9,5.7,4.5,8.5,24.4,97.1,98.9,100.6,102.1,103.6,105.2,-5.962,-10.894,-11.167,-18.436,-16.551,-4.711,87.9,80.1,86.2,89.9,88.5,95.9,Developing,Africa
53,El Salvador,2.4,2.4,-7.9,11.9,2.8,3.5,4145.89,4280.298,3960.335,4599.656,5048.438,5344.249,6.5,6.5,7,6.3,5,5.2,1.1,0.1,-0.4,3.5,7.2,4,6.276,6.28,6.293,6.314,6.336,6.365,-0.859,-0.113,0.277,-1.25,-2.182,-0.466,77,77.9,95.4,88,83.3,84.7,Developing,North America
54,Equatorial Guinea,-6.2,-5.5,-4.8,0.9,3.7,-6.2,10129.619,8355.696,7045.629,8415.533,9020.808,7755.011,NA,NA,NA,NA,NA,NA,1.3,1.2,4.8,-0.1,4.9,2.5,1.314,1.36,1.406,1.452,1.498,1.544,-0.357,-0.857,-7.80E-02,0.515,0.287,-9.30E-02,40.6,43.2,49.4,42.3,30.2,37.4,Developing,Africa
55,Eritrea,13,3.8,NA,NA,NA,NA,580.845,566.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.4,1.3,NA,NA,NA,NA,3.453,3.497,NA,NA,NA,NA,0.311,0.257,NA,NA,NA,NA,267.1,260.4,NA,NA,NA,NA,Developing,Africa
56,Estonia,3.7,3.7,-2.9,7.1,0.1,-3,23628.862,24023.899,23911.344,27966.793,28469.346,30137.644,5.4,4.4,6.8,6.2,5.6,6.4,3.4,2.3,-0.6,4.5,19.4,9.1,1.322,1.327,1.33,1.331,1.349,1.37,0.173,0.641,-0.803,-1.343,-1.496,-0.718,8,8.3,18.3,17.6,18.3,19.3,Developed,Europe
57,Eswatini,2.4,2.7,-1.6,10.7,0.5,4.9,4226.975,4031.719,3535.09,4259.206,4161.741,4173.577,NA,NA,NA,NA,NA,NA,4.8,2.6,3.9,3.7,4.8,4.9,1.104,1.115,1.127,1.139,1.151,1.163,6.30E-02,0.175,0.281,0.127,-0.129,0.109,26.5,31.4,38.7,37,40.7,38.5,Developing,Africa
58,Ethiopia,7.7,9,6.1,6.3,6.4,7.2,839.861,948.851,969.014,974.185,1143.024,1511.217,NA,NA,NA,NA,NA,NA,13.8,15.8,20.4,26.8,33.9,30.2,95.5,97.6,99.7,101.9,104.082,105.707,-5.233,-4.934,-4.444,-3.169,-5.134,-4.635,58.4,54.7,53.7,53.8,46.9,38.7,Developing,Africa
59,Fiji,3.8,-0.6,-17,-4.9,19.8,7.5,6269.882,6079.485,4920.014,4750.073,5450.487,5933.167,4.5,4.5,13.4,9,6.5,5.5,4.1,1.8,-2.6,0.2,4.3,2.3,0.89,0.896,0.901,0.906,0.912,0.917,-0.47,-0.698,-0.607,-0.68,-0.856,-0.417,45.8,49,63.6,83.3,91.2,83.3,Developing,Oceania
60,Finland,1.2,1.3,-2.5,2.7,1.5,-1.2,49698.347,48395.834,48827.138,53203.799,50549.712,53130.693,7.4,6.7,7.8,7.6,6.8,7.2,1.2,1.1,0.4,2.1,7.2,4.3,5.513,5.518,5.525,5.534,5.548,5.564,-5.089,-0.805,1.44,1.23,-6.883,-3.244,65.3,65.2,75.3,73.1,73.9,77,Developed,Europe
61,France,1.6,2.1,-7.6,6.8,2.6,1.1,42915.865,41831.481,40536.857,45315.56,42581.012,46305.162,9,8.4,8,7.9,7.3,7.4,2.1,1.3,0.5,2.1,5.9,5.7,64.844,65.097,65.269,65.505,65.722,65.926,-19.423,16.27,-54.317,8.216,-32.78,-30.404,98.1,97.6,114.6,112.6,111.1,109.9,Developed,Europe
62,Gabon,0.9,3.8,-1.8,1.5,3,2.4,8198.56,8111.318,7289.442,9113.798,9478.236,9079.278,NA,NA,NA,NA,NA,NA,4.8,2,1.7,1.1,4.3,3.6,2.053,2.08,2.108,2.135,2.161,2.209,1.202,0.776,-7.60E-02,0.674,2.238,1.08,61.1,59.8,78.2,68.4,65.6,72.1,Developing,Africa
63,Gambia,7.2,6.2,0.6,5.3,4.9,5.3,729.035,768.921,747.886,820.584,841.947,892.989,NA,NA,NA,NA,NA,NA,6.5,7.1,5.9,7.4,11.5,17,2.28,2.349,2.419,2.492,2.567,2.644,-0.158,-0.111,-5.40E-02,-8.70E-02,-0.09,-0.204,83.6,83,85.9,83.1,82.9,75.2,Developing,Africa
64,Georgia,6.1,5.4,-6.3,10.6,11,7.5,4800.794,4738.796,4308.286,5055.161,6773.539,8172.574,19.2,17.6,18.5,20.6,17.3,16.4,2.6,4.9,5.2,9.6,11.9,2.5,3.73,3.724,3.717,3.729,3.689,3.736,-1.192,-1.025,-1.981,-1.937,-1.12,-1.326,38.2,40,59.6,49.1,39.2,39.2,Developing,Asia
65,Germany,1.1,1,-4.1,3.7,1.4,-0.3,48897.189,47629.1,47341.768,52300.607,49725.343,53565.041,3.2,3,3.6,3.6,3.1,3,1.9,1.4,0.4,3.2,8.7,6,82.906,83.093,83.161,83.196,83.798,84.514,316.177,317.797,253.943,311.805,173.5,278.729,60.7,58.6,67.9,67.9,64.8,62.7,Developed,Europe
66,Ghana,6.2,6.5,0.5,5.1,3.8,2.9,2276.264,2265.705,2274.469,2535.468,2305.225,2322.121,NA,NA,NA,NA,NA,NA,9.8,7.2,9.9,10,31.9,39.2,29.555,30.168,30.779,31.394,32.082,32.902,-2.043,-1.526,-1.774,-2.157,-1.695,-1.097,62,58.3,72.3,79.2,92.7,82.9,Developing,Africa
67,Greece,1.7,1.9,-9.3,8.4,5.6,2,19750.71,19140.612,17570.395,20115.924,20818.073,22880.296,19.3,17.3,16.3,14.8,12.4,11.1,0.8,0.5,-1.3,0.6,9.3,4.2,10.741,10.725,10.719,10.679,10.46,10.414,-7.589,-4.584,-13.84,-15.258,-23.39,-16.365,190.7,185.5,213.2,201.2,179.6,168.9,Developed,Europe
68,Grenada,4.4,0.7,-13.8,4.7,7.3,4.7,10419.126,10779.062,9222.709,9868.861,10762.835,11515.617,NA,NA,NA,NA,NA,NA,0.8,0.6,-0.7,1.2,2.6,2.7,0.112,0.113,0.113,0.114,0.114,0.115,-0.149,-0.126,-0.168,-0.162,-0.136,-0.12,68.5,62.7,89.5,86.6,78.8,75.2,Developing,North America
69,Guatemala,3.4,4,-1.8,8,4.2,3.5,4485.926,4646.84,4610.073,5053.653,5509.385,5933.036,NA,NA,NA,NA,NA,NA,3.7,3.7,3.2,4.3,6.9,6.2,16.347,16.604,16.858,17.11,17.358,17.602,0.65,1.822,3.924,1.873,1.197,3.281,26.4,26.4,31.5,30.6,29,27.2,Developing,North America
70,Guinea,6.4,5.6,4.7,5.6,4,5.7,891.887,986.528,1008.687,1139.967,1334.939,1529.46,NA,NA,NA,NA,NA,NA,9.8,9.5,10.6,12.6,10.5,7.8,13.294,13.627,13.967,14.317,14.674,15.041,-2.193,-2.085,-2.276,-0.403,-1.689,-2.02,39.3,38.6,47.8,42.7,40.2,40.8,Developing,Africa
71,Guinea-Bissau,3.8,4.5,1.5,6.2,4.6,5.2,894.667,836.954,838.847,928.35,907.623,1035.294,NA,NA,NA,NA,NA,NA,0.4,0.3,1.5,3.3,7.9,7.2,1.738,1.776,1.815,1.855,1.896,1.937,-5.40E-02,-0.127,-3.90E-02,-1.40E-02,-0.149,-0.174,59.2,65.3,77.7,79,80.8,79.4,Developing,Africa
72,Guyana,4.4,5.4,43.5,20.1,62.3,33,6120.536,6594.375,6952.702,9707,18353.123,21472.309,NA,NA,NA,NA,NA,NA,1.3,2.1,1.2,3.3,6.5,4.5,0.782,0.785,0.787,0.789,0.792,0.794,-1.387,-3.558,-0.948,-1.994,3.805,1.757,47,43.6,51.1,43.2,26.5,26.4,Developing,South America
